RX_ID,X,Y,Z,SNR_dB,RX_Power_dBm,CQI,LOS,User_Request,Request_Label
1,19.51,-107.37,1.50,20.42,-72.57,12,0,I want to watch 4K video,eMBB
2,-59.84,-72.59,1.50,23.87,-69.11,13,0,I need emergency response coordination during a disaste,URLLC
3,-249.52,-5.88,1.50,3.16,-89.83,6,0,I want to stream a webinar with interactive features,eMBB
4,-90.60,-10.97,1.50,25.03,-67.96,13,0,I need to download large files,eMBB
5,-79.91,-1.31,1.50,27.98,-65.01,14,0,I need my autonomous vehicle to communicate in real time,URLLC
6,-161.88,105.28,1.50,8.90,-84.09,8,0,I need to control remote diagnostic equipment in rural clinics,URLLC
7,-251.13,-55.29,1.50,2.47,-90.52,5,0,I need to control a robotic arm in real time,URLLC
8,-126.45,54.86,1.50,16.27,-76.72,10,0,I need to use maps for basic navigation,eMBB
9,-235.61,-16.92,1.50,4.35,-88.64,6,0,I want to browse websites and check email,eMBB
10,55.72,63.92,1.50,26.71,-66.28,14,0,I need AI-based video analytics,eMBB
11,-78.39,145.56,1.50,12.37,-80.62,9,0,I need instant alerts for life-threatening patient conditions,URLLC
12,27.93,-71.62,1.50,27.72,-65.27,14,0,I want to stream music while browsing social media,eMBB
13,-20.88,-69.54,1.50,29.09,-63.89,15,0,I need to control remote diagnostic equipment in rural clinics,URLLC
14,-20.54,44.81,1.50,39.26,-53.73,15,0,I need to detect and isolate power grid faults instantly,URLLC
15,-118.82,-102.24,1.50,13.03,-79.96,9,0,I need my autonomous vehicle to communicate in real time,URLLC
16,-232.40,3.32,1.50,4.72,-88.27,6,0,I want to use remote surgery equipment,URLLC
17,-128.68,-104.66,1.50,11.82,-81.17,9,0,I need instant alerts for life-threatening patient conditions,URLLC
18,-76.59,-30.92,1.50,26.99,-66.00,14,0,I need vehicle-to-vehicle collision avoidance systems,URLLC
19,-87.44,-90.45,1.50,17.71,-75.28,11,0,I need to synchronize multiple robots on a factory floor,URLLC
20,19.82,-40.45,1.50,38.56,-54.43,15,0,I need real-time traffic updates for navigation,eMBB
21,55.55,98.03,1.50,20.61,-72.38,12,0,I need to control critical infrastructure with zero downtime,URLLC
22,-73.55,-93.58,1.50,18.85,-74.14,11,0,I need to participate in a video conference meeting,eMBB
23,-48.36,-79.76,1.50,23.97,-69.02,13,0,I need reliable communication for firefighters inside buildings,URLLC
24,-36.37,65.96,1.50,29.79,-63.20,15,0,I need to participate in a video conference meeting,eMBB
25,-69.89,-48.40,1.50,26.21,-66.78,14,0,I want to stream music while browsing social media,eMBB
26,-216.56,27.01,1.50,6.12,-86.87,7,0,I need AI-based video analytics,eMBB
27,49.58,-26.55,1.50,34.32,-58.67,15,0,I want to stream music while browsing social media,eMBB
28,-163.61,147.66,1.50,6.02,-86.96,7,0,I want to download a large software update,eMBB
29,-165.62,-0.33,1.50,12.11,-80.88,9,0,I need to make a high-quality voice call,eMBB
30,-156.25,-56.79,1.50,11.90,-81.09,9,0,I want to download a big game file,eMBB
