RX_ID,X,Y,Z,SNR_dB,RX_Power_dBm,CQI,LOS,User_Request,Request_Label
1,97.93,18.82,1.50,23.05,-69.94,13,0,I need real-time traffic updates for navigation,eMBB
2,-2.25,26.41,1.50,50.72,-42.27,15,0,I want to stream a live sports event in HD,eMBB
3,-68.42,62.24,1.50,24.45,-68.54,13,0,I need real-time fraud detection for financial transactions,URLLC
4,87.08,-17.90,1.50,25.53,-67.46,13,0,I need emergency response coordination during a disaste,URLLC
5,-64.38,19.12,1.50,31.24,-61.75,15,0,I want to use augmented reality navigation,eMBB
6,63.72,-10.02,1.50,32.46,-60.53,15,0,I need vehicle-to-vehicle collision avoidance systems,URLLC
7,-25.81,29.57,1.50,42.57,-50.42,15,0,I need microsecond-level latency for high-frequency tradin,URLLC
8,-44.92,-22.14,1.50,37.41,-55.58,15,0,I need to balance electrical load in real-time across microgrids,URLLC
9,55.34,-31.47,1.50,32.71,-60.28,15,0,I want to participate in a virtual reality gaming session,eMBB
10,96.00,3.85,1.50,23.85,-69.14,13,0,I need to control precision CNC machines with zero tolerance for delay,URLLC
11,3.63,-1.89,1.50,73.62,-19.37,15,0,I need reliable communication for firefighters inside buildings,URLLC
12,-28.53,44.30,1.50,36.47,-56.52,15,0,I need to balance electrical load in real-time across microgrids,URLLC
13,-60.68,-17.00,1.50,32.57,-60.42,15,0,I need to check weather forecasts,eMBB
14,-34.63,-6.24,1.50,44.65,-48.34,15,0,I want to stream a live sports event in HD,eMBB
15,-35.25,-25.67,1.50,40.30,-52.69,15,0,I want to stream music while browsing social media,eMBB
16,-18.31,26.92,1.50,46.41,-46.58,15,0,I want to use holographic communication,eMBB
17,57.72,21.76,1.50,33.42,-59.57,15,0,I need immediate machine shutdown capability for safety incidents,URLLC
18,-39.95,64.21,1.50,28.79,-64.20,15,0,I need my autonomous vehicle to communicate in real time,URLLC
19,-20.32,-5.66,1.50,54.57,-38.42,15,0,I want to stream a live sports event in HD,eMBB
20,41.56,58.32,1.50,30.15,-62.84,15,0,I need reliable connectivity for implanted medical devices,URLLC
21,-48.12,59.56,1.50,28.51,-64.48,14,0,I want to use augmented reality navigation,eMBB
22,-44.42,10.18,1.50,39.37,-53.62,15,0,I want to stream music while browsing social media,eMBB
23,13.20,46.21,1.50,38.61,-54.38,15,0,I need to balance electrical load in real-time across microgrids,URLLC
24,-25.55,-9.17,1.50,49.81,-43.18,15,0,I want to browse websites and check email,eMBB
25,-53.76,44.58,1.50,30.44,-62.55,15,0,I need to deploy early warning systems for natural disasters,URLLC
26,-4.86,-20.74,1.50,54.72,-38.27,15,0,I need to deploy early warning systems for natural disasters,URLLC
27,37.88,0.67,1.50,43.81,-49.18,15,0,I want to watch 4K video,eMBB
28,40.93,-21.44,1.50,39.56,-53.43,15,0,I need to monitor IoT sensors in real-time,URLLC
29,-25.40,57.35,1.50,32.81,-60.18,15,0,I need to detect and isolate power grid faults instantly,URLLC
30,-34.07,1.57,1.50,45.29,-47.70,15,0,I want to monitor my home security cameras remotely,eMBB
